Date ,series ,Open,HIGH ,LOW ,PREV. CLOSE ,ltp ,Price ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades ,Helper
3-Mar-20,EQ,"1,808.60","1,917.10","1,806.15","1,790.65","1,887.50","1,901.70","1,888.01","2,059.50","1,178.10",1483311,"2,800,507,931.45",55028,138
4-Mar-20,EQ,"1,906.40","1,985.75","1,792.20","1,901.70","1,837.00","1,830.65","1,849.87","2,059.50","1,178.10",905618,"1,675,276,813.20",38702,139
5-Mar-20,EQ,"1,830.00","1,880.00","1,796.60","1,830.65","1,825.00","1,827.65","1,833.93","2,059.50","1,178.10",435452,"798,587,352.70",18297,140
6-Mar-20,EQ,"1,800.00","1,801.35","1,736.65","1,827.65","1,787.95","1,788.05","1,764.54","2,059.50","1,178.10",414794,"731,920,778.85",23382,141
9-Mar-20,EQ,"1,765.00","1,770.00","1,631.65","1,788.05","1,667.00","1,660.90","1,676.93","2,059.50","1,178.10",422301,"708,170,118.00",21279,142
11-Mar-20,EQ,"1,667.00","1,668.00","1,595.10","1,660.90","1,613.00","1,625.90","1,631.17","2,059.50","1,178.10",478474,"780,470,777.50",27831,143
12-Mar-20,EQ,"1,479.55","1,551.30","1,401.65","1,625.90","1,445.00","1,439.65","1,469.59","2,059.50","1,178.10",478545,"703,266,589.25",38148,144
13-Mar-20,EQ,"1,296.00","1,571.05","1,252.10","1,439.65","1,412.10","1,378.70","1,386.38","2,059.50","1,178.10",400395,"555,101,141.45",29192,145
16-Mar-20,EQ,"1,291.00","1,341.95","1,228.25","1,378.70","1,230.20","1,239.55","1,281.75","2,059.50","1,178.10",277815,"356,088,649.00",21954,146
17-Mar-20,EQ,"1,232.10","1,260.00","1,170.00","1,239.55","1,193.25","1,181.90","1,212.03","2,059.50","1,170.00",465562,"564,274,118.60",22971,147
18-Mar-20,EQ,"1,189.25","1,209.95","1,102.05","1,181.90","1,107.35","1,119.25","1,129.67","2,059.50","1,102.05",432196,"488,240,136.50",37034,148
19-Mar-20,EQ,"1,064.00","1,099.80",905.55,"1,119.25","1,040.50","1,035.85","1,000.83","2,059.50",905.55,863244,"863,964,065.35",74153,149
20-Mar-20,EQ,"1,139.00","1,165.00",994.4,"1,035.85","1,139.95","1,143.15","1,114.09","2,059.50",905.55,646910,"720,714,379.20",35390,150
23-Mar-20,EQ,"1,030.00","1,074.95",857.4,"1,143.15",861,864.2,941.46,"2,059.50",857.4,248231,"233,699,463.25",20635,151
